GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ecom_system,com.ecom.entity,Good,411,0,70,0,11,0,57,0,22,0
ecom_system,com.ecom.entity,PageBean,135,0,22,0,5,0,21,0,10,0
ecom_system,com.ecom.entity,Result,205,0,30,0,9,0,30,0,15,0
ecom_system,com.ecom.entity,Shop,181,0,30,0,6,0,27,0,12,0
ecom_system,com.ecom.entity,User,181,0,30,0,6,0,27,0,12,0
ecom_system,com.ecom,EcomSystemApplication,5,3,0,0,2,1,1,1,1,1
ecom_system,com.ecom.util,JwtUtils,37,0,0,0,14,0,4,0,4,0
ecom_system,com.ecom.controller,GoodController,79,7,0,0,15,2,5,2,5,2
ecom_system,com.ecom.controller,UploadController,44,7,0,0,8,2,1,2,1,2
ecom_system,com.ecom.controller,ShopController,54,7,0,0,15,2,5,2,5,2
ecom_system,com.ecom.controller,UserController,21,7,2,0,6,2,2,2,1,2
ecom_system,com.ecom.filter,LoginFilter,25,0,2,0,8,0,4,0,3,0
ecom_system,com.ecom.filter,LoginFilterByToken,67,0,4,0,24,0,5,0,3,0
ecom_system,com.ecom.service.impl,UserServiceImpl,5,3,0,0,1,1,1,1,1,1
ecom_system,com.ecom.service.impl,GoodServiceImpl,53,7,0,0,14,2,5,2,5,2
ecom_system,com.ecom.service.impl,ShopServiceImpl,25,3,0,0,8,1,5,1,5,1
